BATSMAN ,BOWLER ,RUNS
CH Gayle ,P Awana ,64
KC Sangakkara ,Harbhajan Singh ,63
M Vijay ,SR Watson ,63
SK Raina ,MM Patel ,63
DA Warner ,HV Patel ,63
V Sehwag ,R Vinay Kumar ,63
RG Sharma ,MM Sharma ,63
MS Dhoni ,AR Patel ,63
SK Raina ,I Sharma ,63
R Dravid ,I Sharma ,63
BB McCullum ,JA Morkel ,63
DR Smith ,JA Morkel ,63
SR Watson ,PP Chawla ,63
MK Pandey ,A Mishra ,63
JP Duminy ,R Vinay Kumar ,62
M Vijay ,RP Singh ,62
AB de Villiers ,JP Faulkner ,62
V Kohli ,I Sharma ,62
SK Raina ,Z Khan ,62
S Dhawan ,MM Sharma ,62
SK Raina ,B Kumar ,62
G Gambhir ,R Vinay Kumar ,62
RG Sharma ,A Nehra ,62
PA Patel ,A Nehra ,62
RV Uthappa ,AR Patel ,62
AC Gilchrist ,I Sharma ,62
AM Rahane ,MJ McClenaghan ,62
MEK Hussey ,JH Kallis ,62
V Kohli ,RP Singh ,62
S Dhawan ,SR Watson ,61
TM Dilshan ,SL Malinga ,61
PA Patel ,UT Yadav ,61
CH Gayle ,M Morkel ,61
LMP Simmons ,RA Jadeja ,61
SR Tendulkar ,PP Chawla ,61
CH Gayle ,R McLaren ,61
AB de Villiers ,A Nehra ,61
SR Watson ,NLTC Perera ,60
G Gambhir ,AD Mathews ,60
YK Pathan ,KV Sharma ,60
LMP Simmons ,A Nehra ,60
V Sehwag ,JH Kallis ,60
SR Tendulkar ,SB Jakati ,60
RS Bopara ,P Kumar ,60
AM Rahane ,UT Yadav ,60
KD Karthik ,A Mishra ,60
SPD Smith ,DJ Bravo ,60
DR Smith ,JP Faulkner ,60
V Kohli ,MS Gony ,60
G Gambhir ,SR Watson ,60
V Kohli ,A Nehra ,60
A Symonds ,A Mishra ,60
SR Watson ,R Ashwin ,59
BB McCullum ,M Morkel ,59
SR Tendulkar ,AB Dinda ,59
MEK Hussey ,L Balaji ,59
DR Smith ,A Mishra ,59
RG Sharma ,VR Aaron ,59
MEK Hussey ,R Bhatia ,59
